見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
ゆうゆうおはなし会,絵本の読み聞かせや紙芝居,,,3月17・24・31日、4月7･14日いずれも日曜11:00～11:30,情報交流センターBig・U（田辺市）,乳幼児から小学低学年程度,,,,県立紀南図書館 電話0739-22-2061,,,,,https://www.lib.wakayama-c.ed.jp/kinan/index.html,,,
南紀熊野ジオパークフェスタ,各種活動紹介や地元産品販売ブースなど、楽しみながらジオパークを知るイベント,,,3月16日（土）10:00～15:30,白浜町立総合体育館・白浜会館（白浜町）,,,,,県庁自然環境室,,,,,http://nankikumanogeo.jp/,,,
吉本新喜劇ワールドツアー60周年それがどうした！,,,,4月6日（土）15:30～,県民文化会館（和歌山市）,,"2,000人（全席指定）（先着順）","6,000円（前売5,500円）※５歳以上有料。４歳以下膝上無料だが、席が必要な場合は有料。 ",,,電話、インターネットで会場電話073-436-1331※各プレイガイドでも発売,,,,http://www.wacaf.or.jp/culturehall/,,,
～わかふるステージ～わかちかポップスコンサート,地元の演奏家による誰もが気軽に楽しめるコンサート,,,3月24日（日）13:30～,わかちか広場（和歌山市）,,,,,和歌山県民文化会館電話073-436-1331,,,,,http://www.wacaf.or.jp/culturehall/,,,
県農林大学校ウィークエンド農業塾,,,,(1)野菜コース 5月11日～11月16日(2)果樹コース 5月11日～2020年1月18日 いずれも土曜 全8日,県農林大学校（かつらぎ町）,,各15人（抽選）,料（傷害保険料別）,,,郵送で所定の申込書（申込先、市町村、ウェブサイトで配布）を4月4日までに会場 〒649-7112かつらぎ町中飯降422 電話0736-22-2203県ウェブサイトでも掲載,,,,http://www.ag-wakayama.ac.jp/,,,
「農業農村活性化支援モデル事業」企画提案,むら機能が低下した地域に活気を呼び起こす企画提案を広く募集,,,,,,,,,,郵送、来所で所定の提案書（ウェブサイトで配布）を3月13日までに振興局農地課（東牟婁は農業水産振興課） 県ウェブサイトでも掲載,,,,https://www.pref.wakayama.lg.jp/prefg/070500/index.html,,,
県就農支援センター就農研修,,,,(1)農業体験研修　毎月１回 ※研修日は要問合せ(2)ウィークエンド農業塾 5月18日～7月21日 全10日(3)技術修得研修 5月20日～9月13日 全25日,県就農支援センター（御坊市）,,(1)10人(2)15人(3)8人（選考）,無料（傷害保険料別）,,,郵送、ファックス、Eメールで所定の申込書（申込先、ウェブサイトで配布）を(1)研修日10日前(2)4月17日(3)4月8日までに会場〒644-0024 御坊市塩屋町南塩屋724電話0738-23-3488　ファックス0738-23-3489県ウェブサイトでも掲載,,,,https://www.pref.wakayama.lg.jp/prefg/071601/sintyakujouhou/index.html,,e0716011@pref.wakayama.lg.jp,
県障害者スポーツ大会,,,,開会式5月19日（日）10:00～陸上5月19日（日）12:00～卓球5月26日（日）13:30～アーチェリー5月26日（日）13:30～水泳6月2日（日）14:00～ボウリング6月9日（日）10:15～フライングディスク11月24日（日）10:30～,開会式紀三井寺公園陸上競技場(和歌山市）陸上紀三井寺公園陸上競技場(和歌山市）卓球県子ども・女性・障害者相談センター（和歌山市）アーチェリー県子ども・女性・障害者相談センター（和歌山市）水泳秋葉山公園県民水泳場（和歌山市）ボウリング和歌山グランドボウル（和歌山市）フライングディスク紀三井寺公園陸上競技場（和歌山市）,13歳以上の身体障害者手帳・療育手帳・精神障害者保健福祉手帳の交付を受けた方など,,,所定の申込書（申込先、ウェブサイトなどで配布）を住所地の市福祉事務所、振興局健康福祉部,県障害者スポーツ協会 電話073-445-7314※申込締切日など詳しくは要問合せ※手話通訳・要約筆記あり,,,,,http://wssk.jp/,,,
白崎青少年の家 ,〒649-1123 由良町大引961-1電話0738-65-2351　ファックス0738-65-2352http://shirasaki.pya.jp/,家族でリフレッシュin白崎,野外炊飯、キャンプファイヤー、星空観察、ピザ作りなど,4月30日（休日）～5月2日（休日）2泊3日,,,15家族（先着順）,"4,600～6,240円/人",4月16日まで,,,,,,http://shirasaki.pya.jp/ ,,,
潮岬青少年の家,〒649-3502　串本町潮岬669電話0735-62-6045　ファックス0735-62-0182http://omoshiro-yh.com/,潮岬青少年の家,日帰り！古座川de山菜採りと魚釣り体験！,3月24日（日）9:00～14:00,,,20人（先着順）※小学3年生以下は保護者同伴,"1,500円（昼食代など）",3月4～15日,,,,,,http://omoshiro-yh.com/,,,
県職員採用試験総合案内,試験,2019年度の試験日程や受験資格などを掲載,,,,,,,,,県人事委員会事務局県ウェブサイトでも掲載,県人事委員会事務局、振興局総務県民課、県パスポートセンター、警察署など,,,https://www.pref.wakayama.lg.jp/prefg/210100/saiyou.html,,,
県農林大学校 農学部,試験,県警察官A採用,※場所・試験区分・採用予定人数は試験案内（申込書）をご覧ください,5月12日（日）,,,,,,,郵送で3月1日～4月5日（インターネットは3月1～18日13:00まで）に県警察本部警務課 電話073-423-0110 県ウェブサイトでも掲載,,昭和62年4月2日以降に生まれた方で、大学（短期大学を除く）の卒業者または2020年3月末日までに卒業見込みの方（一部試験区分は別に資格要件あり）,県警察本部警務課、警察署、県人事委員会事務局、県パスポートセンターなど,https://www.pref.wakayama.lg.jp/prefg/210100/saiyou.html,,,
